pos.x,pos.y,pos.z,rot.x,rot.y,rot.z,fWidth,fHeight,fMaxX,fMinX,fMaxY,fMinY,bUse,nType,aRemarks
50,750,0,0,0,0,100,100,100,0,800,700,1,0,WALL
150,750,0,0,0,0,100,100,200,100,800,700,1,0,WALL
250,750,0,0,0,0,100,100,300,200,800,700,1,0,WALL
350,750,0,0,0,0,100,100,400,300,800,700,1,0,WALL
450,750,0,0,0,0,100,100,500,400,800,700,1,0,WALL
550,750,0,0,0,0,100,100,600,500,800,700,1,0,WALL
650,750,0,0,0,0,100,100,700,600,800,700,1,0,WALL
750,750,0,0,0,0,100,100,800,700,800,700,1,0,WALL
850,750,0,0,0,0,100,100,900,800,800,700,1,0,WALL
950,750,0,0,0,0,100,100,1000,900,800,700,1,0,WALL
1050,750,0,0,0,0,100,100,1100,1000,800,700,1,0,WALL
1150,750,0,0,0,0,100,100,1200,1100,800,700,1,0,WALL
